module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
Feature Discovery Workflow,fdw-setup,Setup Feature Discovery,SF,Install or update Feature Discovery Workflow module config and help entries.,configure,{-H: headless mode}|{inline values: skip prompts with provided values},anytime,,,true,{project-root}/_bmad,module config and help registry
Feature Discovery Workflow,fdw-agent-ba,Talk to Vadim,VB,"Open the BA front door: where the engagement stands, what is blocking it, what to do next.",activate,{question: anything about engagement state},anytime,,,false,{discovery_folder},"spoken orientation, routing into any fdw skill"
Feature Discovery Workflow,fdw-intake,Ingest Client Input,FI,"Turn a transcript, WBS, PRD or sales handoff into source-anchored features in the registry.",ingest,{-H: headless mode}|{path: one or more source documents},anytime,,fdw-design:design,true,{discovery_folder},"feature folders with signal.md, registry entries, glossary terms"
Feature Discovery Workflow,fdw-intake,Validate Discovery Store,FV,Check the registry and the feature folders still agree; each problem names its own fix.,validate,{-H: headless mode},anytime,,,false,{discovery_folder},integrity report
Feature Discovery Workflow,fdw-design,Design a Feature,FD,"Build and iterate a working prototype reusing the project's components, capturing behaviour as it goes.",design,{feature-id}|{reproduce: rebuild current screens first},anytime,fdw-intake:ingest,fdw-client-packet:packet,false,{prototype_output_path},"runnable prototype, ux-notes.md, empty-state.md"
Feature Discovery Workflow,fdw-client-packet,Build Client Packet,CP,"Capture the prototype screens and produce the self-contained review document the client reads, answers and signs.",packet,{feature-id},anytime,fdw-design:design,fdw-client-packet:feedback,false,{discovery_folder},"self-contained HTML packet with a built-in reply, screenshots, question map"
Feature Discovery Workflow,fdw-client-packet,Record Client Feedback,CF,"Read every stakeholder's reply back in, close the questions they answered, surface disagreements, and mark the design approved on sign-off.",feedback,"{feature-id}|{one reply file per person, or their words}",anytime,fdw-client-packet:packet,fdw-elaborate:elaborate,false,{discovery_folder},"closed questions with the answering quote, filed replies, recorded sign-off"
Feature Discovery Workflow,fdw-elaborate,Write Feature Spec,FE,Write the per-feature spec from the approved design and its source evidence.,elaborate,{feature-id},anytime,fdw-client-packet:feedback,fdw-elaborate:approve,false,{discovery_folder},spec.md with provenance on every requirement
Feature Discovery Workflow,fdw-elaborate,Approve Feature Spec,FA,Mint stable requirement ids and mark the spec approved. Refuses while critical questions are open.,approve,"{feature-id}|{--accept-open-blockers: approve anyway, recorded}",anytime,fdw-elaborate:elaborate,fdw-handoff:preflight,false,{discovery_folder},approved spec with stable requirement ids
Feature Discovery Workflow,fdw-elaborate,Absorb a Change Record,AC,Absorb a change raised against an already-approved spec and record how it was resolved.,close-change,{feature-id}|{resolution},anytime,fdw-elaborate:approve,,false,{discovery_folder},"updated spec, closed change record"
Feature Discovery Workflow,fdw-consistency,Audit Feature Consistency,FC,"Audit the feature set against itself: contradictions, overlaps, dependencies, terminology drift.",audit,{phase}|{feature-id},anytime,,,false,{output_folder},"consistency report, regenerated questions rollup, graph edges"
Feature Discovery Workflow,fdw-handoff,Run Handoff Pre-flight,FP,"Report what would ship, what is not eligible, and how many blockers would travel into the PRD. Warns, never blocks.",preflight,{phase}|{feature-id},anytime,fdw-elaborate:approve,fdw-handoff:handoff,false,{output_folder},pre-flight blocker report with the trend across phases
Feature Discovery Workflow,fdw-handoff,Hand Off Phase,FH,Bundle the phase's approved specs and drive bmad-prd to produce the phase PRD.,handoff,{phase}|{feature-id: partial handoff},anytime,fdw-handoff:preflight,fdw-phase:phase,false,{discovery_folder},"bundle manifest, BUNDLE.md, next-call agenda, phase PRD"
Feature Discovery Workflow,fdw-phase,Manage Delivery Phases,FM,"Scope, open, close and report phases, carrying unfinished work forward.",phase,{scope|move|close|open|report}|{phase},anytime,,,false,{discovery_folder},"phase records with carry-over and blocker counts, phase report"
Feature Discovery Workflow,fdw-phase,Phase Report,PR,"Render the engagement's arc across every phase: scope, what shipped, what slipped, blockers at handoff.",report,{-},anytime,,,false,{output_folder},phase report with the blocker trend
Feature Discovery Workflow,fdw-status,Discovery Dashboard,FS,"Render the whole engagement: pipeline, blockers by owner, build order, phase progress.",status,{phase}|{--digest-only: one-line text summary},anytime,,,false,{output_folder},self-contained HTML dashboard
